20180920-15:37:37.025,-696,16148,-1220,2142
20180920-15:37:37.027,-696,16148,-1220,2135
20180920-15:37:37.029,-696,16148,-1192,2142
20180920-15:37:37.031,-692,16088,-1192,2140
20180920-15:37:37.034,-692,16088,-1192,2147
20180920-15:37:37.036,-700,16108,-1216,2131
20180920-15:37:37.038,-700,16108,-1216,2144
20180920-15:37:37.041,-744,16284,-1156,2145
20180920-15:37:37.043,-744,16284,-1156,2138
20180920-15:37:37.045,-744,16264,-1156,2139
20180920-15:37:37.047,-708,16264,-1156,2140
20180920-15:37:37.049,-708,16264,-1156,2137
20180920-15:37:37.051,-700,16216,-1056,2140
20180920-15:37:37.053,-700,16216,-1056,2140
20180920-15:37:37.055,-652,16236,-1072,2147
20180920-15:37:37.058,-652,16236,-1072,2142
20180920-15:37:37.060,-652,16236,-1072,2146
20180920-15:37:37.062,-684,16276,-1040,2144
20180920-15:37:37.064,-684,16276,-1040,2141
20180920-15:37:37.066,-632,16292,-1048,2144
20180920-15:37:37.068,-632,16292,-1048,2134
20180920-15:37:37.070,-632,16292,-1072,2144
20180920-15:37:37.072,-684,16292,-1072,2148
20180920-15:37:37.074,-684,16292,-1072,2143
20180920-15:37:37.077,-716,16240,-1128,2146
20180920-15:37:37.079,-716,16240,-1128,2137
20180920-15:37:37.081,-724,16144,-1184,2153
20180920-15:37:37.083,-724,16144,-1184,2138
20180920-15:37:37.085,-724,16144,-1232,2149
20180920-15:37:37.087,-620,16260,-1232,2137
20180920-15:37:37.089,-620,16260,-1232,2140
20180920-15:37:37.091,-704,16184,-1172,2149
20180920-15:37:37.094,-704,16184,-1172,2141
20180920-15:37:37.096,-672,16112,-1216,2145
20180920-15:37:37.098,-672,16112,-1216,2132
20180920-15:37:37.101,-672,16112,-1180,2143
20180920-15:37:37.103,-720,16160,-1180,2148
20180920-15:37:37.105,-720,16160,-1180,2140
20180920-15:37:37.107,-660,16184,-1120,2135
20180920-15:37:37.110,-660,16184,-1120,2140
20180920-15:37:37.113,-732,16280,-1040,2147
20180920-15:37:37.115,-732,16280,-1040,2146
20180920-15:37:37.117,-744,16276,-968,2145
20180920-15:37:37.120,-744,16276,-968,2141
20180920-15:37:37.122,-812,16276,-976,2140
20180920-15:37:37.124,-812,16276,-976,2149
20180920-15:37:37.126,-856,16272,-1016,2137
20180920-15:37:37.129,-856,16272,-1016,2146
20180920-15:37:37.131,-856,16272,-1016,2143
20180920-15:37:37.133,-1012,16392,-992,2139
20180920-15:37:37.136,-1012,16392,-992,2133
20180920-15:37:37.138,-920,16452,-1032,2137
20180920-15:37:37.140,-920,16452,-1032,2147
20180920-15:37:37.142,-848,16440,-1032,2141
20180920-15:37:37.145,-848,16440,-1032,2143
20180920-15:37:37.147,-876,16416,-964,2141
20180920-15:37:37.149,-876,16416,-964,2134
20180920-15:37:37.151,-876,16416,-964,2151
20180920-15:37:37.154,-760,16332,-1008,2137
20180920-15:37:37.156,-760,16332,-1008,2141
20180920-15:37:37.158,-688,16216,-1156,2140
20180920-15:37:37.161,-688,16216,-1156,2144
20180920-15:37:37.163,-620,16168,-1240,2139
20180920-15:37:37.165,-620,16168,-1240,2139
20180920-15:37:37.167,-628,16128,-1224,2139
20180920-15:37:37.170,-628,16128,-1224,2146
20180920-15:37:37.172,-628,16040,-1244,2148
20180920-15:37:37.174,-512,16040,-1244,2138
20180920-15:37:37.176,-512,16040,-1244,2143
20180920-15:37:37.179,-492,16008,-1240,2140
20180920-15:37:37.181,-492,16008,-1240,2145
20180920-15:37:37.183,-528,15960,-1268,2147
20180920-15:37:37.186,-528,15960,-1268,2146
20180920-15:37:37.188,-644,15968,-1316,2135
20180920-15:37:37.190,-644,15968,-1316,2137
20180920-15:37:37.192,-640,16176,-1268,2139
20180920-15:37:37.195,-640,16176,-1268,2141
20180920-15:37:37.197,-640,16176,-1212,2135
20180920-15:37:37.199,-700,16220,-1212,2141
20180920-15:37:37.202,-700,16220,-1212,2142
20180920-15:37:37.204,-804,16272,-1016,2138
20180920-15:37:37.206,-804,16272,-1016,2143
20180920-15:37:37.208,-820,16308,-1040,2137
20180920-15:37:37.211,-820,16308,-1040,2139
